eng,ssw,source
"Consideration of Report of Portfolio Committee on Police on 2020/21 Budget, Annual Performance Plan and 2020-2025 Strategic Plan of Private Security Industry Regulatory Authority (PSIRA) (Announcement, Tablings and Committee Reports, 3 June 2020, p 85).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteMaphoyisa lomayelana neSabelomali sanga-2020/21, Lisu Lemnyaka Lekusebenta neLisubuciko langa-2020-2025 leMtimba Wekulawula Timboni Letitimele taBologadza (i-PSIRA) (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-03 Inhlaba 2020, likh. le-85).",June
"Consideration of Report of Portfolio Committee on Police on 2020/21 Budget Vote 24, Performance Plan and 2020 -2025 Strategic Plan of Independent Police Investigative Directorate (IPID) (Announcement, Tablings and Committee Reports, 3 June 2020, p 62).","Kucutjungulwa kweMbiko weLikomidi weLibandla laVelonkhe leteMaphoyisa lomayelana neVoti yeSabelomali sanga-2020/21, Lisu Lekusebenta kanye neLisubuciko langa-2020-2025 Lelihhovisi lebacondzisi Lelitimele Lekuphenya teMaphoyisa (i-IPID)2020/21 Ivoti yeSabelomaliye-24, Lisu Lekusebenta neLisu leLisubuciko langa-2020 -2025  lweLuphiko lweMaphoyisa lweKuphenya Lolutimele (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-03 Inhlaba 2020, likh. 62).",June
"Consideration of Report of Portfolio Committee on Police on 2020/21 Budget, Annual Performance Plan of Civilian Secretariat for Police Services (CSPS) Vote 21 (Announcement, Tablings and Committee Reports, 3 June 2020, p 37).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteMaphoyisa lomayelana neSabelomali sanga-2020/21, Lisu Lemnyaka Lekusebenta Lemeluleki weTebuphoyisa (i-CSPS) Ivoti ye-21 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-03 Inhlaba 2020, likh. le-37)",June
"Consideration of Report of Portfolio Committee on Police on 2020/21 Budget Vote 28, Annual Performance Plan of Department of Police (SAPS) (Announcement, Tablings and Committee Reports, 3 June 2020, p 4).","Kucutjungulwa kweMbiko weLikomidi weLibandla laVelonkhe leteMaphoyisa  lomayelana neVoti ye-28 yeSabelomali sanga-2020/21, Lisu Lemnyaka Lekusebenta leLitiko Letemaphoyisa (i-SAPS) (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-03 Inhlaba 2020, likh.4)",June
"Consideration of Report of Portfolio Committee on Sport, Arts and Culture on Budget Vote 37: Sport, Arts and Culture (Announcement, Tablings and Committee Reports, 4 June 2020, p 563).","Kucutjungulwa kweMbiko weLikomidi weLibandla laVelonkhe weLitiko Letemidlalo, Buciko Nemasiko lomayelana neVoti ye-37 yeSabelomali: Temidlalo, Tebuciko Nemasiko (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-04 Inhlaba 2020, likh. le-563).",June
"Consideration of Report of Portfolio Committee on Human Settlements, Water and Sanitation on Budget Vote 33: Human Settlements, Strategic Plan for Medium Term Expenditure Framework (MTEF) period and Annual Performance Plan 2020/21 (Announcement, Tablings and Committee Reports, 4 June 2020, p 543).","Kucutjungulwa kweMbiko weLikomidi weLibandla laVelonkhe lomayelana neTekuhlaliswa Kwebantfu, Temanti Nekuhanjiswa Kwendle lomayelana neVoti ye-33 yeSabelomali: Kuhlaliswa Kwebantfu, Lisubuciko leLuhlakamsebenti lweLusebentisomali Lwesikhatsi seThemu Lesemkhatsini (i-MTEF) Lisu Lemnyaka Lekusebenta langa-2020/21 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-04 Inhlaba 2020, likh. 543).",June
"Consideration of Report of Portfolio Committee on Health on Budget Vote 18: Health, Strategic Plan and Annual Performance Plan of Department of Health (Announcement, Tablings and Committee Reports, 4 June 2020, p 517).","Kucutjungulwa kweMbiko weLikomidi weLibandla laVelonkhe Letemphilo lomayelana neVoti ye-18 yeSabelomali: Temphilo, Lisubuciko Lemnyaka Lekusebenta leLitiko Letemphilo (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-04 Inhlaba 2020, likh. le-517).",June
"Consideration of Report of Portfolio Committee on Basic Education on Budget Vote 16: Basic Education (Announcement, Tablings and Committee Reports, 4 June 2020, p 455).","Kucutjungulwa kweMbiko weLikomidi leTemfundvo Lesisekelo lomayelana neVoti yeSabelomali ye-16: Temfundvo Lesisekelo (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. le-455).",June
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on Budget Vote 35: Science and Innovation (2020/21) (Announcement, Tablings and Committee Reports, 4 June 2020, p 404).","Kucutjungulwa kweMbiko weLikomidi leTemfundvo Lesisekelo, Isayensi Netheknoloji lomayelana neVoti yeSabelomali ye-35: Isayensi neKucamba Lokusha (2020/21) (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. le-404).",June
"Consideration of Report of Portfolio Committee on Social Development on Budget Vote 19, Annual Performance Plans of Department of Social Development and entities for 2020/21 (Announcement, Tablings and Committee Reports, 4 June 2020, p 365).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe lomayelana neVoti yeSabelomali ye-19, Emasu eKusebenta kweMnyaka eLitiko Letekutfutfukiswa Kwetenhlalo netikhungo kwanga-2020/21 (Timemetelo, Tetfulo neMibiko yeMakomidi, mhla ti-4 Inhlaba 2020, likh. le-365).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Budget Vote 31: Employment and Labour, Strategic Plans of Department and entities 2020/21 – 2024/25 and Annual Performance Plans of Department and entities 2020/21 (Announcement, Tablings and Committee Reports, 4 June 2020, p 321).","Kucutjungulwa kweMbiko weLikomidi leTekucashwa Netisebenti lomayelana neVoti yeSabelomali ye-31: Tekucashwa neTisebenti, Emasubuciko eLitiko netikhungo-2020/21 – 2024/25 neMasu eKusebenta kweMnyaka eLitiko netikhungo- 2020/21 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. 321).",June
"Consideration of Report of Portfolio Committee on Public Enterprises on Budget Vote 10: Public Enterprises and Annual Performance Plan for 2020/21 of Department of Public Enterprises (Announcement, Tablings and Committee Reports, 4 June 2020, p 301).","Kucutjungulwa kweMbiko weLikomidi leTemabhizinisi Ahulumende lomayelana neVoti yeSabelomali ye-10: Emabhizinisi Ahulumende neLisu leKusebenta kweMnyaka wa-2020/21 weLitiko Letemabhizinisi Ahulumende (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. 301).",June
"Consideration of Report of Portfolio Committee on Public Works and Infrastructure on Budget Vote 13: Public Works and Infrastructure (Announcement, Tablings and Committee Reports, 4 June 2020, p 252).","Kucutjungulwa kweMbiko weLikomidi leTemisebenti Yesive Nesakhiwonchanti lomayelana neVoti yeSabelomali ye-13: Temisebenti Yesive Nesakhiwonchanti (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. le-252).",June
"Consideration of Report of Standing Committee on Finance on Budget Vote 8: National Treasury (Announcement, Tablings and Committee Reports, 4 June 2020, p 230).","Kucutjungulwa kweMbiko weLikomidi leLimile leteTimali lomayelana neVoti yeSabelomali ye-8: Temafa aVelonkhe (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. le-230).",June
"Consideration of Report of Portfolio Committee on Mineral Resources and Energy on Strategic Plan 2020 – 2025, Annual Performance Plan for 2020/2021 and Budget Vote No 34 of Department of Mineral Resources and Energy (Announcement, Tablings and Committee Reports, 4 June 2020, p 168).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteTimbiwa Nemandla lomayelana neLisu leLisubuciko langa-2020 – 2025, Lisu leKusebenta kweMnyaka wanga-2020/2021 neVoti yeSabelomali No-34 yeLitiko Letetimbiwa Nemandla (Timemetelo, Tetfulo neMibiko, mhla ti-4 Inhlaba 2020, likh. le-168).",June
"Consideration of Report of Portfolio Committee on Small Business Development on Budget Vote 36 of the Department of Small Business Development for financial year 2020/21 (Announcement, Tablings and Committee Reports, 4 June 2020, p 140).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteKutfutfukiswa Kwetemabhizinisi Lamancane lomayelana neVoti yeSabelomali ye-36, yemayakatimali weLitiko Letekutfutfukiswa Kwemabhizinisi Lamancane -2020/21 (Timemetelo, Tetfulo neMibiko yeMakomidi, mhla ti-4 Inhlaba 2020, likh. le-140).",June
"Consideration of Report of Portfolio Committee on Transport on Budget Vote 40: Transport and Strategic Plans and Annual Performance Plans 2020-21 of Department of Transport and entities (Announcement, Tablings and Committee Reports, 4 June 2020, p 74).","Kucutjungulwa kweMbiko weLikomidi leTekutfutsa lomayelana neVoti yeSabelomali ye-40: Tekutfutsa neMasubuciko neMasu Kusebenta kweMnyaka wanga-2020/-21 eLitiko Letekutfutsa nemitimba (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. 74).",June
"Consideration of Report of Portfolio Committee on Communications on Budget Vote 30: Communications and Digital Technologies (Announcement, Tablings and Committee Reports, 4 June 2020, p 24).","Kucutjungulwa kweMbiko weLikomidi leTekuchumana lomayelana neVoti yeSabelomali ye-30: Tekuchumana neMatheknoloji laDijithali (2020/21) (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. le-24).",June
"Consideration of Report of Portfolio Committee on Communications on Budget Vote 4: Government Communication and Information System (GCIS) (Announcement, Tablings and Committee Reports, 4 June 2020, p 4).","Kucutjungulwa kweMbiko weLikomidi leTekuchumana lomayelana neVoti yeSabelomali ye-4: Tekuchumana taHulumende neKwatisa (i-GCIS) (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. le-4).",June
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on Budget Vote 17: Higher Education and Training (Announcement, Tablings and Committee Reports, 5 June 2020, p 348).","Kucutjungulwa kweMbiko weLikomidi leTemfundvo Lephakame, Isayensi Netheknoloji lomayelana neVoti yeSabelomali ye-17: Temfundvo Lephakeme Nekucecesha (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. le-348).",June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Strategic Plans and Annual Performance Plans 2020/21 of Department of Justice and Constitutional Development, National Prosecuting Authority, Legal Aid South Africa, Special Investigating Unit, Public Protector South Africa, South African Human Rights Commission and Information Regulator; and Budget Vote 25: Justice and Constitutional Development for 2020 MTEF (Announcement, Tablings and Committee Reports, 5 June 2020, p 289).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe Letebulungiswa Nekucondziswa Kwesimilo lomayelana neMasubuciko neMasu eKusebenta kweMnyaka-2020/21 eLitiko Letebulungiswa Umtimba weTekushushisa waVelonkhe, Telusito lweteMtsetfo taseNingizimu Afrika, Luphiko loLukhetsekile lweTekuphenya, Umvikeli weSive waseNingizimu Afrika, Ikhomishini yeMalungelo eLuntfu yaseNingizimu Afrika kanye neMlawulilwatiso; neVoti yeSabelomali se-25: Tebulungiswa neKutfutfukiswa kweMtsetfosisekelo anga-(2020/21) (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-4 Inhlaba 2020, likh. le-289).",June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Strategic Plan for 2020/21 – 2024/25 and Annual Performance Plan for 2020/21 of Office of the Chief Justice and Budget Vote 27: Office of the Chief Justice and Judicial Administration (Announcement, Tablings and Committee Reports, 5 June 2020, p 270).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTebulungiswa Nekucondziswa kweSimilo lomayelana  neLisubuciko langa-2020/21 – 2024/25 neLisubuciko leKusebenta langa-2020/21 leLihhovisi leLijaji Lelikhulu neSabelomali-27: Lihhovisi leLijaji Lelikhulu neKulawulwa kweTebulungiswa (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-5 Inhlaba 2020, likh. le-270).",June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Strategic Plan for 2020 – 2025 and Annual Performance Plan for 2020/21 of Department of Correctional Services, and Budget Vote 22: Correctional Services (Announcement, Tablings and Committee Reports, 5 June 2020, p 251).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTebulungiswa Nekucondziswa kweSimilo lomayelana  neLisubuciko langa-2020/21 – 2025/25 neLisubuciko leKusebenta langa-2020/21 leLitiko Letekucondziswa Kwesimilo, neSabelomali-27: Tekucondziswa Kwesimilo (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-5 Inhlaba 2020, likh. le-251).",June
"Consideration of Report of Portfolio Committee on Defence and Military Veterans on Budget Vote 26 Department of Military Veterans (Announcement, Tablings and Committee Reports, 5 June 2020, p 183).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekuvikela Neletigayigayi Temphi mayelana neVoti yeSabelomali ye-26 Litiko Letigayigayi Temphi (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-5 Inhlaba 2020, likh. 183).",June
"Consideration of Report of Portfolio Committee on Agriculture, Land Reform and Rural Development on 2020/21 Annual Performance Plan and Budget of Department of Agriculture, Land Reform and Rural Development and entities, Vote 29 (Announcement, Tablings and Committee Reports, 5 June 2020, p 133).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe Letekulima, Kuhlelwa Kabusha Kwemhlaba Nekutfutfukiswa Kwetindzawo Tasemaphandleni mayelana neLisu Lekusebenta leMnyaka wanga-2020/21 leLitiko Letekulima, Kuhlelwa Kabusha Kwemhlaba Nekutfutfukiswa Kwetindzawo Tasemaphandleni netikhungo, Ivoti yeSabelomali ye-29 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-5 Inhlaba 2020, likh. le-133).",June
"Consideration of Report of Portfolio Committee on Public Service and Administration on Strategic Plan 2019/20—2023/24, Annual Performance Plans 2020/21 and Budget Vote 14 of Statistics South Africa (Announcement, Tablings and Committee Reports, 5 June 2020, p 117).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteMisebenti Yesive Nekuphatsa Timbiwa Nemandla lomayelana neLisubuciko langa-2019/20—2023/24, Emasubuciko eKusebenta kweMnyaka wanga-2020/21 neVoti yeSabelomali No-14 seLubalobalo LwaseNingizimu Afrika (Timemetelo, Tetfulo neMibiko, mhla ti-5 Inhlaba 2020, likh. le-117).",June
"Consideration of Report of Portfolio Committee on Public Service and Administration on Strategic Plan 2019/20—2023/24, Annual Performance Plans 2020/21 and Budget Vote 12 of Public Service Commission (Announcement, Tablings and Committee Reports, 5 June 2020, p 105).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteMisebenti Yesive Nekuphatsa Timbiwa Nemandla lomayelana neLisubuciko langa-2019/20—2023/24, Emasubuciko eKusebenta kweMnyaka wanga-2020/21 neVoti yeSabelomali No-12 seKhomishini Yetemisebenti Yesive (Timemetelo, Tetfulo neMibiko, mhla ti-5 Inhlaba 20120, likh. le-105).",June
"Consideration of Report of Portfolio Committee on Public Service and Administration on Strategic Plan 2019/20—2023/24, Annual Performance Plans 2020/21 and Budget Vote 11 of Department of Public Service and Administration (Announcement, Tablings and Committee Reports, 5 June 2020, p 83).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteMisebenti Yesive Nekuphatsa lomayelana neLisubuciko langa-2019/20—2023/24, Emasubuciko eKusebenta kweMnyaka wanga-2020/21 neVoti Sabelomali No-11 seLitiko Letemisebenti Yesive Nekuphatsa (Timemetelo, Tetfulo neMibiko, mhla ti-5 Inhlaba 20120, likh. le-83).",June
"Consideration of Report of Portfolio Committee on Public Service and Administration on Strategic Plan 2019/20—2023/24, Annual Performance Plans 2020/21 and Budget Vote 9 of Department of Planning, Monitoring and Evaluation (Announcement, Tablings and Committee Reports, 5 June 2020, p 65).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteMisebenti Yesive Nekuphatsa lomayelana neLisubuciko langa-2019/20—2023/24, Emasu eKusebenta kweMnyaka wanga-2020/21 neVoti Sabelomali No-9 seLitiko Letekucaphela Nekulinganisa Kusebenta Kwahulumende (Timemetelo, Tetfulo neMibiko, mhla ti-5 Inhlaba 20120, likh. le-65).",June
"Consideration of Report of Portfolio Committee on Public Service and Administration on Strategic Plan 2019/20—2023/24, Annual Performance Plans 2020/21 and Budget Vote 7 of National School of Government (Announcement, Tablings and Committee Reports, 5 June 2020, p 55).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteMisebenti Yesive Nekuphatsa lomayelana neLisubuciko langa-2019/20—2023/24, Emasu eKusebenta kweMnyaka wanga-2020/21 neVoti yeSabelomali No-7 seSikolwa Savelonkhe Sahulumende (Timemetelo, Tetfulo neMibiko, mhla ti-5 Inhlaba 20120, likh. le-55).",June
"Consideration of Report of Portfolio Committee on Environment, Forestry and Fisheries on Strategic Plan 2019/20—2023/24, Annual Performance Plans 2020/21 and Budget Vote 32 of Department of Environment, Forestry and Fisheries (Announcement, Tablings and Committee Reports, 5 June 2020, p 21).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTemvelo, Temahlatsi Netinhlanti lomayelana neLisubuciko langa-2019/20—2023/24, Emasu eKusebenta kweMnyaka wanga-2020/21 neVoti yeSabelomali No-32 seLitiko Letemvelo, Temahlatsi Netinhlanti (Timemetelo, Tetfulo neMibiko, mhla ti-5 Inhlaba 20120, likh. le-21).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on 2020/21 Annual Performance Plans and Budgets of Department of Cooperative Governance, Department of Traditional Affairs and entities (Announcement, Tablings and Committee Reports, 5 June 2020, p 6).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe Letekubusa Ngekubambisana Netendzabuko mayelana neLisu Lekusebenta leMnyaka wanga-2020/21 leLitiko Letekubusa Ngekubambisana,  Netendzabuko lima, Kuhlelwa Kabusha Kwemhlaba Nekutfutfukiswa Kwetindzawo netikhungo (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-5 Inhlaba 2020, likh. le-6).",June
