eng,tso,source
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Nawumbisi wa Tikhoto ta Ndhavuko wa [B 1B – 2017] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vusirheleri na Vululami – Huvo ya Rixaka ya Swifundzankulu).,June
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wa Xikimu xa Mbuyelo wa Tinghozi ta le Magondzweni wa [B 17B – 2017] (Huvo ya Rixaka – xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vutleketli – Huvo ya Rixaka).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wa Vugevenga bya le ka Inthanete wa [B 6B – 2017] (Huvo ya Rixaka – xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vusirheleri na Vululami – Huvo ya Rixaka ya Swifundzankulu).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Nawumbisi wo Cinca Khamphani ya Switichi swa Swihahampfhuka wa [B 5B – 2018] (|Huvo ya Rixaka– xiyenge xa 75) – (Komit ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vutleketli, Vukorhokeri bya Mfumo na Vulawuri, Mitirho ya Mfumo na Switirhisiwankulu – Huvo ya Rixaka ya Swifundzankulu).",June
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Nawumbisi wo Cinca Khamphani ya Vukorhokeri bya Ntlimbano wa le Moyeni na Vutluti wa [B 6B – 2018] (Huvo ya Rixaka – xiyenge xa 75) – (Komit ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vutleketli, Vukorhokeri bya Mfumo na Vulawuri, Mitirho ya Mfumo na Switirhisiwankulu –Huvo ya Rixaka ya Swifundzankulu).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Nawumbisi wo Cinca swa Mpfuneto wa Vaaki wa [B 8B - 2018] (Huvo ya Rixaka– xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Rihanyu na Vukorhokeri bya Vaaki – Huvo ya Rixaka ya Swifundzankulu).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wo Sivela no Herisa Vugevenga bya Rivengo na Mbulavulo wa Rivengo wa [B 9 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso – Huvo ya Rixaka).,June
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wo Cinca Vutihlamuleri bya Mfumo wa [B 16 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso – Huvo ya Rixaka).,June
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Nawumbisi wo Cinca Mavumbelo ya Masipala: Mfumo wa Miganga wa [B 19B – 2018] (Huvo ya Rixaka– xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Mafumelo ya Ntirhisano na Timhaka ta Ndhavuko, Mati na Mbhasiso na Matshamelo ya Vanhu – Huvo ya Rixaka ya Swifundzankulu).",June
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Nawumbisi wa Bangi ya Rhizevha ya Afrika-Dzonga wa [B 26 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Nkarhi Hinkwawo ya swa Timali – Huvo ya Rixaka).,June
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Nawumbisi wo Cinca timhaka to Gembula wa Rixaka wa [B 27B – 2018] (Huvo ya Rixaka– xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Mabindzu na Vumaki, Nhluvukiso wa swa Ikhonomi, Nhluvukiso wa Mabindzu Lamantsongo, Vupfhumba, Vatirhi na Matholelo – Huvo ya Rixaka ya Swifundzankulu).",June
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Nawumbisi wo Cinca swa Rihanyu wa Rixaka wa [B 29 – 2018] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Rihanyu – Huvo ya Rixaka).,June
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Nawumbisi wo Cinca Malawulelo ya Timali ta Mfumo wa [B 41  2018] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Nkarhi Hinkwawo ya swa Timali – Huvo ya Rixaka).,June
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wo Cinca Vuhahisi bya Vaaki wa [B 44 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vutleketli – Huvo ya Rixaka).,June
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Nawumbisi wo Cinca Tisisiteme ta Masipala: Mfumo wa Miganga wa [B 2 – 2019] (Huvo ya Rixaka– xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mafumelo ya Ntirhisano na Timhaka ta Ndhavuko – Huvo ya Rixaka).,June
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Nawumbisi wa Ndzindzakhombo wa Rihanyu [B 11 - 2019] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka – Huvo ya Rixaka).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,"Nawumbisi wa ku Antswisiwa ka Timfanelo ta Vun’wini bya Misava wa [B 6 - 2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke) – (Komiti ya Huvo ya Rixaka ya swa Vurimi, Mpfunxeto wa Misava na Nhluvukiso wa Tindhawu ta le Matikoxikiaya – Huvo ya Rixaka).",June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice - National Council of Provinces).,Nawumbisi wo Cinca Timhaka ta swa Vululami wa [B 13B - 2019] (Huvo ya Rixaka – xiyenge xa75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vuhlayiseki na vVululami – Huvo ya Rixaka ya Swifundzankulu).,June
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Nawumbisi wa Mulawuri loyi a Tiyimeleke wa Mafambiselo ya Gezi wa [B 14 - 2019] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Swipfuno swa Swicelwa na Eneji – Huvo ya Rixaka).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Nawumbisi wo Cinca Swileriso swa Timhaka ta Vaaki na Vugevenga (Milandzu ya swa Masangu) wa [B 22B - 2019] (Huvo ya Rixaka – xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vuhlayiseki na Vululami – Huvo ya Rixaka ya Swifundzankulu).,June
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wo Lawula Ikhonomi ya Vutleketli wa [B 1 - 2020] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vutleketli– Huvo ya Rixaka).,June
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Nawumbisi wo Cinca Phurofexini ya swa Nkambelatinkota wa [B 2 – 2020] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Nkarhi hinkwawo ya swa Timali – Huvo ya Rixaka).,June
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Nawumbisi wa Vutihlamuleri bya swa Timali wa [B 5 - 2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke) – (Komiti ya Nkarhi Hinkwawo ya swa Timali – Huvo ya Rixaka).,June
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Nawumbisi wa ku Antswisiwa ka Timfanelo ta Vun’wini bya Misava wa [B 6 - 2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke) – (Komiti ya Huvo ya Rixaka ya swa Vurimi, Mpfunxeto wa Misava na Nhluvukiso wa Tindhawu ta le Matikoxikiaya – Huvo ya Rixaka).",June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wo Cinca swa Vutleketli bya le Mapatwini wa Rixaka wa [B7-2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wo Cinca Huvo yo Aphila swa Vutleketli wa [B8-2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke).,June
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,MILAWUMBISI LEYI TLHERISERIWEKE EKA HUVO YA RIXAKA LESWAKU KU TA TEKERIWA ENHLOKWENI LESWI PRESIDENTE A NGA NA KU KANAKANA EKA SWONA,June
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,Nawumbisi wo Cinca Swimakiwa swa Byalwa wa [B 10B – 2016] (Huvo ya Rixaka–xiyenge xa 75).,June
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,Nawumbisi wo Sirhelela Mahungu ya Tiko wa [B 6H – 2010] (Huvo ya Rixaka–xiyenge xa 75).,June
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,Nawumbisi wo Cinca Ku Sirheleriwa ka Vayimbeleri wa [B24B - 2016] (Huvo ya Rixaka–xiyenge xa 75).,June
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,Nawumbisi wo Cinca Nsirhelelo wa Matsalwa wa [B13B - 2017] (Huvo ya Rixaka–xiyenge xa 75).,June
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,MILAWUMBISI LEYI PASISIWEKE HI HUVO YA RIXAKA NA KU YISIWA EKA HUVO YA RIXAKA YA SWIFUNDZANKULU LESWAKU KU VA NA MAVONELO YO FANA,June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Nawumbisi wa Tikhoto ta Ndhavuko wa [B 1B – 2017] (Huvo ya Rixaka– xiyenge xa 76)).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,Nawumbisi wa Vugevenga bya le ka Inthanete wa [B 6B – 2017] (Huvo ya Rixaka – xiyenge xa 75).,June
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Nawumbisi wo Cinca timhaka ta Khamphani ya Switichi swa Swihahampfhuka wa [B 5B – 2018] (|Huvo ya Rixaka– xiyenge xa 75).,June
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Nawumbisi wo Cinca timhaka ta Khamphani ya Vukorhokeri bya Ntlimbano wa le Moyeni na Vutluti wa [B 6B – 2018] (Huvo ya Rixaka – xiyenge xa 75).,June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Nawumbisi wo Cinca swa Mpfuneto wa Vaaki wa [B 8B - 2018] (Huvo ya Rixaka – xiyenge xa 76).,June
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Nawumbisi wo Cinca Vukati bya Vanhu va Rimbewu Rin’we wa [B 11B – 2018] (Huvo ya Rixaka – xiyenge xa 75).,June
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,7.     Nawumbisi wo Cinca Mavumbelo ya Masipala: Mfumo wa Miganga wa [B 19B – 2018] (Huvo ya Rixaka– xiyenge xa 76).,June
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,8.    Nawumbisi wo Cinca timhaka to Gembula wa Rixaka wa [B 27B – 2018] (Huvo ya Rixaka– xiyenge xa 76).,June
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,9.     Nawumbisi wo Cinca Milawu ya Sayense na Thekinoloji wa [B 42B – 2018] (Huvo ya Rixaka– xiyenge xa 75).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,10.  Nawumbisi wo Cinca Ku Tekeriwa Enhlokweni ka Vukati bya Ndhavuko wa [B 12 - 2019] (Huvo ya Rixaka– xiyenge xa 76).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,11.   Nawumbisi wo Cinca Timhaka ta swa Vululami wa [B 13B - 2019] (Huvo ya Rixaka– xiyenge xa 76).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,12.  Nawumbisi wo Cinca Swileriso swa Timhaka ta Vaaki na Vugevenga (Milandzu ya swa Masangu) wa [B 22B - 2019] (Huvo ya Rixaka – xiyenge xa 75),June
INTERNATIONAL AGREEMENTS,MITWANANO YA MATIKO YA MISAVA,June
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Senthara ya Matiko ya Tinxaka eka swa Vuinjhiniyere na  Bayotekinoloji (ICGEB) eka ku tumbuluxiwa ka Xiyenge xa Senthara ya Matiko ya Tinxaka ya Vuinjhiniyere bya Bayothekinoloji (ICGEB) eRiphabliki ra Afrika-Dzonga (Lowu andlariweke hi 18 Ndzati 2019) (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Dyondzo ya le Henhla, Sayense na Thekinoloji hi ti 19 Ndzati 2019 – lowu vikiweke hi ti 5 N’wendzamhala 2019 – lowu pasisiweke hi 10 Nyenyankulu 2020). (NCOP: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Dyondzo na Thekinoloji, Mitlangu, Vutshila na Mfuwo hi ti 19 Hukuri 2019 – lowu vikiweke hi ti 26 Mudyaxihi 2020).",June
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).",Ku tiyisisiwa ka Ntwanano exikarhi ka Mfumo wa Riphabliki ra Indiya na Mfumo wa Federali wa Riphabliki ra Brazil na Mfumo wa Riphabliki ra Afrika-Dzonga hi mayelana na Nkwama wa IBSA wa ku Herisiwa ka Vusweti na Ndlala (Lowu sayiniweke hi ti 17 Nhlangula 2017) (Lowu andlariweke hi ti 18 Nhlangula 2019).  (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuxaka bya Matiko na Ntirhisano hi ti 22 Nhlangula 2019).  (NCOP: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vusirheleri na Vululami hi ti 24 Nhlangula 2019).,June
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Mfumo wa Europian Atomic Energy Community (EURATOM) hi mayelana na ku Tirhisana eka ku Tirhisiwa ka Eneji ya Nyutliya hi ndlela yo Rhula (Lowu andlariweke hi ti 14 Hukuri 2019). (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swipfuno swa Swicelwa na Eneji hi ti 18 Hukuri 2019).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Mfumo wa United Mexican States mayelana na ku Pfunana hi swa Nawu eka Timhaka ta Vugevenga (Lowu andlariweke hi ti 5 Nyenyankulu 2020). (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukohokeri bya Makhostso hi ti 9 Nyenyankulu 2020). (NCOP: Lowu yisiweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vuhlayiseki na Vululami hi ti 10 Nyenyankulu 2020 – lowu vikiweke hi ti 1 Khotavuxika 2020).,June
