eng,afr,source
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on National Student Financial Aid Scheme 2018/19 financial and service delivery performance (Announcements, Tablings and Committee Reports, 5 December 2019, p 52).","Besluit oor Vraag oor Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor National Student Financial Aid Scheme 2018/19 financial and service delivery performance (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 52)",March
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on Colloquium on funding of post-school education and training sector (Announcements, Tablings and Committee Reports, 5 December 2019, p 74).","Besluit oor Vraag oor Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor Colloquium on funding of post-school education and training sector (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 74)",March
"Consideration of Report of Portfolio Committee on Basic Education on Petition from the residents of Dryharts village, calling on the Assembly to investigate the re-opening of the Molehabangwe Middle School, submitted by Mr I S Seitlholo, MP (Announcements, Tablings and Committee Reports, 26 February 2020, p 38).","Oorweging van Verslag van Portefeuljekomitee oor Basiese Onderwys oor Petition from the residents of Dryharts village, calling on the Assembly to investigate the re-opening of the Molehabangwe Middle School, submitted by Mr I S Seitlholo, MP (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Februarie 2020, bl 38).",March
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","Oorweging van Verslag van Portefeuljekomitee oor Basiese Onderwys oor oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Februarie 2020, bl 6).",March
"Consideration of National Land Transport Amendment Bill [B 7D – 2016] (National Assembly – sec 76) and of Report of Portfolio Committee on Transport thereon (Announcements, Tablings and Committee Reports, 26 February 2020, p 5).","Oorweging van National Land Transport Amendment Bill [B 7D – 2016] (Nasionale Vergadering – art 76) en van Verslag van Portefeuljekomitee oor Vervoer daaroor (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Februarie 2020, bl 5).",March
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Oorweging van Verslag van Portefeuljekomitee oor Basiese Onderwys oor Submission from the Griqua People’s Heritage on the lack of a Primary School (Aankondigings, Tertafelleggings en Komiteeverslae, 11 Februarie 2020, bl 5).",March
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Oorweging van Verslag van Gesamentlike Staande Komitee oor Finansiële Bestuur van Parlement oor Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Aankondigings, Tertafelleggings en Komiteeverslae, 9 Desember 2019, bl 20).",March
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Oorweging van Verslag van Gesamentlike Staande Komitee oor Finansiële Bestuur van Parlement oor Parliament of Republic of South Africa’s 2018/19 Annual Report (Aankondigings, Tertafelleggings en Komiteeverslae, 9 Desember 2019, bl 5).",March
"Consideration of Request for Approval by Parliament of Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa in terms of section 231(2) of Constitution, 1996 (Report of Portfolio Committee on Higher Education, Science and Technology, see Announcements, Tablings and Committee Reports, 5 December 2019, p 73).","Oorweging van Versoek om Goedkeuring deur Parlement van Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa ingevolge artikel 231(2) van Grondwet, 1996 (Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie, kyk Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 73).",March
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Oorweging van Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 64).",March
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Oorweging van Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 24).",March
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 4).",March
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Oorweging van Verslag van Staande Komitee oor Ouditeur-Generaal oor Integrated Annual Report of Auditor-General for financial year 2018/19 (Aankondigings, Tertafelleggings en Komiteeverslae, 4 Desember 2019, bl 3).",March
MOTIONS (Notice given previously):,VOORSTELLE (Kennis voorheen gegee):,March
"See p 28-31 (Mr E T Myeni, (Mrs D van der Walt, Mrs D B Ngwenya, Ms A Gela, Ms M D Hlengwa, Mr P Mey, Ms A Motaung, Mr S N Swart, Ms H S Winkler, Mr B S Madlingozi, Ms T I Legwase, Mr A M Shaik Emam, Ms A M Molekwa, Ms A S Hlongo, Ms B S Masango, Ms T Mgweba, Ms N P Sonti, Mr K Ceza).","Kyk bl 28-31 (mnr E T Myeni, mev D van der Walt, mev D B Ngwenya, me A Gela, me M D Hlengwa, mnr P Mey, me A Motaung, mnr S N Swart, me H S Winkler, mnr B S Madlingozi, me T I Legwase, mnr A M Shaik Emam, me A M Molekwa, me A S Hlongo, me B S Masango, me T Mgweba, me N P Sonti, mnr K Ceza).",March
APPENDIXES,AANHANGSELS,March
PETITIONS REFERRED TO COMMITTEES,PETISIES NA KOMITEES VERWYS,March
"Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",March
"Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","2.	Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",March
"Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portfolio Committee on Police – National Assembly).","3.	Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",March
"Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","4.	Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (Mr D Bergman) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",March
"Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","5.	Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",March
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","6.	Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",March
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","7.	Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",March
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","8.	Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",March
